statistic,year,sex,age,unit,value
Median Annual Earnings,2022,Male,25 - 29 years,Euro,38620
Median Annual Earnings,2022,Male,30 - 39 years,Euro,47603
Median Annual Earnings,2022,Male,40 - 49 years,Euro,52362
Median Annual Earnings,2022,Male,50 - 59 years,Euro,50286
Median Annual Earnings,2022,Male,60 years and over,Euro,39813
Median Annual Earnings,2022,Female,15 - 24 years,Euro,19737
Median Annual Earnings,2022,Female,15 years and over,Euro,37782
Median Annual Earnings,2022,Female,25 - 29 years,Euro,36747
Median Annual Earnings,2022,Female,30 - 39 years,Euro,42350
Median Annual Earnings,2022,Female,40 - 49 years,Euro,42297
Median Annual Earnings,2022,Female,50 - 59 years,Euro,38351
Median Annual Earnings,2022,Female,60 years and over,Euro,29459
Median Annual Earnings,2023,Male,15 - 24 years,Euro,23658
Median Annual Earnings,2023,Male,15 years and over,Euro,47187
Median Annual Earnings,2023,Male,25 - 29 years,Euro,39852
Median Annual Earnings,2023,Male,30 - 39 years,Euro,49908
Median Annual Earnings,2023,Male,40 - 49 years,Euro,54464
Median Annual Earnings,2023,Male,50 - 59 years,Euro,52300
Median Annual Earnings,2023,Male,60 years and over,Euro,41252
Median Annual Earnings,2023,Female,15 - 24 years,Euro,20382
Median Annual Earnings,2023,Female,15 years and over,Euro,39039
Median Annual Earnings,2023,Female,25 - 29 years,Euro,37771
Median Annual Earnings,2023,Female,30 - 39 years,Euro,44133
Median Annual Earnings,2023,Female,40 - 49 years,Euro,43792
Median Annual Earnings,2023,Female,50 - 59 years,Euro,40075
Median Annual Earnings,2023,Female,60 years and over,Euro,30645
Median Annual Earnings,2024,Male,15 - 24 years,Euro,25313
Median Annual Earnings,2024,Male,15 years and over,Euro,48897
Median Annual Earnings,2024,Male,25 - 29 years,Euro,40739
Median Annual Earnings,2024,Male,30 - 39 years,Euro,51818
Median Annual Earnings,2024,Male,40 - 49 years,Euro,56446
Median Annual Earnings,2024,Male,50 - 59 years,Euro,54633
Median Annual Earnings,2024,Male,60 years and over,Euro,42726
Median Annual Earnings,2024,Female,15 - 24 years,Euro,21502
Median Annual Earnings,2024,Female,15 years and over,Euro,40424
Median Annual Earnings,2024,Female,25 - 29 years,Euro,38441
Median Annual Earnings,2024,Female,30 - 39 years,Euro,45911
Median Annual Earnings,2024,Female,40 - 49 years,Euro,45551
Median Annual Earnings,2024,Female,50 - 59 years,Euro,42003
Median Annual Earnings,2024,Female,60 years and over,Euro,31895
Percentage of Employments,2011,Male,15 - 24 years,%,44.8
Percentage of Employments,2011,Male,15 years and over,%,48.5
Percentage of Employments,2011,Male,25 - 29 years,%,45.9
Percentage of Employments,2011,Male,30 - 39 years,%,50.1
Percentage of Employments,2011,Male,40 - 49 years,%,49.6
Percentage of Employments,2011,Male,50 - 59 years,%,47.6
Percentage of Employments,2011,Male,60 years and over,%,49.8
Percentage of Employments,2011,Female,15 - 24 years,%,55.2
Percentage of Employments,2011,Female,15 years and over,%,51.3
Percentage of Employments,2011,Female,25 - 29 years,%,54.1
Percentage of Employments,2011,Female,30 - 39 years,%,49.9
Percentage of Employments,2011,Female,40 - 49 years,%,50.4
Percentage of Employments,2011,Female,50 - 59 years,%,52.4
Percentage of Employments,2011,Female,60 years and over,%,50.2
Percentage of Employments,2012,Male,15 - 24 years,%,46.5
Percentage of Employments,2012,Male,15 years and over,%,48.7
Percentage of Employments,2012,Male,25 - 29 years,%,46.4
Percentage of Employments,2012,Male,30 - 39 years,%,50
Percentage of Employments,2012,Male,40 - 49 years,%,49.7
Percentage of Employments,2012,Male,50 - 59 years,%,47.4
Percentage of Employments,2012,Male,60 years and over,%,49.6
Percentage of Employments,2012,Female,15 - 24 years,%,53.5
Percentage of Employments,2012,Female,15 years and over,%,51.1
